IDCliente,Genero,TerceraEdad,Casado,Dependientes,Meses,Telefono,LineasMultiples,Internet,Seguridad,BackUp,Proteccion,Soporte,StreamingTV,Peliculas,TipoContrato,FacturaElectronica,MetodoPago,UltimoCargo,TotalHistorico,Abandono
6467-CHFZW,1,1,1,1,47,1,1,2,0,1,0,0,1,1,0,1,3,99.4,4749.2,1
8665-UTDHZ,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,3,30.2,30.2,1
5248-YGIJN,1,1,1,0,72,1,1,1,1,1,1,1,1,1,2,1,2,90.3,6369.5,0
8773-HHUOZ,0,1,0,1,17,1,0,1,0,0,0,0,1,1,0,1,4,64.7,1093.1,1
3841-NFECX,0,0,1,0,71,1,1,2,1,1,1,1,0,0,2,1,2,96.4,6767,0
4929-XIHVW,1,0,1,0,2,1,0,2,0,0,1,0,1,1,0,1,2,95.5,181.7,0
6827-IEAUQ,0,1,1,1,27,1,0,1,1,1,1,1,0,0,1,0,4,66.2,1874.5,0
7310-EGVHZ,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,20.2,20.2,0
3413-BMNZE,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,45.3,45.3,0
6234-RAAPL,0,1,1,1,72,1,1,2,1,1,0,1,1,0,2,0,1,99.9,7251.7,0
6047-YHPVI,1,1,0,0,5,1,0,2,0,0,0,0,0,0,0,1,3,69.7,316.9,1
6572-ADKRS,0,1,0,0,46,1,0,2,0,0,1,0,0,0,0,1,2,74.8,3548.3,0
5380-WJKOV,1,1,0,0,34,1,1,2,0,1,1,0,1,1,0,1,3,106.4,3549.3,1
8168-UQWWF,0,1,0,0,11,1,1,2,0,0,1,0,1,1,0,1,1,97.9,1105.4,1
8865-TNMNX,1,1,1,1,10,1,0,1,0,1,0,0,0,0,1,0,4,49.6,475.7,0
9489-DEDVP,0,1,1,1,70,1,1,1,1,1,0,0,1,0,2,1,2,69.2,4872.4,0
9867-JCZSP,0,1,1,1,17,1,0,0,0,0,0,0,0,0,1,0,4,20.8,418.3,0
4671-VJLCL,0,1,0,0,63,1,1,1,1,1,1,1,1,0,2,1,2,79.9,4861.5,0
4080-IIARD,0,1,1,0,13,1,1,1,1,1,0,1,1,0,0,1,3,76.2,981.5,0
3714-NTNFO,0,1,0,0,49,1,1,2,0,0,0,0,0,1,0,1,3,84.5,3906.7,0
5948-UJZLF,1,1,0,0,2,1,0,1,0,1,0,0,0,0,0,0,4,49.3,97,0
7760-OYPDY,0,1,0,0,2,1,0,2,0,0,0,0,1,0,0,1,3,80.7,144.2,1
7639-LIAYI,1,1,0,0,52,1,1,1,1,0,0,1,1,1,2,1,2,79.8,4217.8,0
2954-PIBKO,0,1,1,1,69,1,1,1,1,0,1,1,0,0,2,1,2,64.2,4254.1,0
8012-SOUDQ,0,0,0,0,43,1,1,2,0,1,0,0,1,0,0,1,3,90.3,3838.8,0
9420-LOJKX,0,1,0,0,15,1,0,2,1,1,0,0,1,1,0,1,2,99.1,1426.4,1
6575-SUVOI,0,0,1,0,25,1,1,1,1,0,0,1,1,0,0,1,2,69.5,1752.7,0
7495-OOKFY,0,0,1,0,8,1,1,2,0,1,0,0,0,0,0,1,2,80.7,633.3,1
4667-QONEA,0,0,1,1,60,1,0,1,1,1,1,1,0,1,1,1,2,74.9,4456.4,0
1658-BYGOY,1,0,0,0,18,1,1,2,0,0,0,0,1,1,0,1,3,95.5,1752.6,1
8769-KKTPH,0,1,1,1,63,1,1,2,1,0,0,0,1,1,1,1,2,99.7,6311.2,0
5067-XJQFU,1,0,1,1,66,1,1,2,0,1,1,1,1,1,1,1,3,108.5,7076.4,0
3957-SQXML,0,1,1,1,34,1,1,0,0,0,0,0,0,0,2,0,2,25,894.3,0
5954-BDFSG,0,1,0,0,72,1,1,2,0,0,1,1,1,1,2,1,2,107.5,7853.7,0
0434-CSFON,0,1,1,0,47,1,1,2,0,0,1,0,1,1,0,1,3,100.5,4707.1,0
1215-FIGMP,1,1,0,0,60,1,1,2,0,1,0,0,1,0,0,1,1,89.9,5450.7,0
0526-SXDJP,1,1,1,0,72,0,0,1,1,1,1,0,0,0,2,0,1,42.1,2962,0
0557-ASKVU,0,1,1,1,18,1,0,1,0,0,1,1,0,0,1,1,2,54.4,957.1,0
5698-BQJOH,0,1,0,0,9,1,1,2,0,0,0,0,1,1,0,0,3,94.4,857.3,1
5122-CYFXA,0,1,0,0,3,1,0,1,0,1,0,1,1,1,0,1,3,75.3,244.1,0
8627-ZYGSZ,1,1,1,0,47,1,1,2,0,1,0,0,0,0,1,1,3,78.9,3650.4,0
3410-YOQBQ,0,1,0,0,31,1,0,1,0,1,1,1,1,1,2,0,4,79.2,2497.2,0
3170-NMYVV,0,1,1,1,50,1,0,0,0,0,0,0,0,0,2,0,1,20.2,930.9,0
7410-OIEDU,1,1,0,0,10,1,0,2,1,0,1,0,0,0,0,1,4,79.9,887.4,0
2273-QCKXA,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,4,49.1,49.1,0
0731-EBJQB,0,1,1,1,52,1,0,0,0,0,0,0,0,0,1,1,3,20.4,1090.7,0
1891-QRQSA,1,0,1,1,64,1,1,2,1,0,1,1,1,1,2,1,1,111.6,7099,0
8028-PNXHQ,1,1,1,1,62,1,1,0,0,0,0,0,0,0,2,1,1,24.3,1424.6,0
5630-AHZIL,0,1,0,1,3,1,0,1,1,0,0,1,0,1,0,1,1,64.5,177.4,0
2673-CXQEU,0,0,0,0,56,1,1,2,1,1,1,0,1,1,1,0,3,110.5,6139.5,0
6416-JNVRK,0,1,0,0,46,1,0,1,0,0,0,0,0,1,1,0,2,55.7,2688.9,0
5590-ZSKRV,0,1,1,1,8,1,0,1,1,1,0,0,0,0,0,0,4,54.7,482.3,0
0191-ZHSKZ,1,0,0,0,30,1,0,1,1,1,0,0,1,1,0,1,3,74.8,2111.3,0
3887-PBQAO,0,1,1,1,45,1,1,0,0,0,0,0,0,0,1,1,2,25.9,1216.6,0
5919-TMRGD,0,1,0,1,1,1,0,2,0,0,0,0,1,0,0,1,3,79.4,79.4,1
8108-UXRQN,0,1,1,1,11,0,0,1,1,0,0,0,1,1,0,0,3,50.6,565.4,0
9191-MYQKX,0,1,1,0,7,1,0,2,0,0,1,0,0,0,0,1,1,75.2,496.9,1
9919-YLNNG,0,1,0,0,42,1,0,2,0,1,1,1,1,1,0,1,1,103.8,4327.5,0
0318-ZOPWS,0,1,1,0,49,1,0,0,0,0,0,0,0,0,2,1,1,20.2,973.4,0
4445-ZJNMU,1,1,0,0,9,1,1,2,0,1,0,0,1,1,0,1,2,99.3,918.8,0
4808-YNLEU,0,1,1,0,35,1,0,1,1,0,0,0,1,0,1,1,1,62.2,2215.5,0
1862-QRWPE,0,1,1,1,48,1,0,0,0,0,0,0,0,0,2,0,1,20.7,1057,0
2796-NNUFI,0,1,1,1,46,1,0,0,0,0,0,0,0,0,2,1,4,20,927.1,0
3016-KSVCP,1,1,1,0,29,0,0,1,0,0,0,0,1,0,0,0,4,33.8,1009.3,0
4767-HZZHQ,1,1,1,1,30,1,0,2,0,1,1,0,0,0,0,0,1,82.1,2570.2,0
2424-WVHPL,1,0,0,0,1,1,0,2,0,0,0,1,0,0,0,0,3,74.7,74.7,0
7233-PAHHL,1,1,1,1,66,1,1,1,1,0,1,1,1,1,2,1,4,84,5714.3,0
6067-NGCEU,0,1,0,0,65,1,1,2,1,1,1,0,1,1,0,1,2,111.1,7107,0
9848-JQJTX,1,1,0,0,72,1,1,2,0,1,1,0,1,1,2,1,1,100.9,7459.1,0
8637-XJIVR,0,1,0,0,12,1,1,2,1,0,0,0,0,0,0,1,3,79,927.4,1
9803-FTJCG,1,1,1,1,71,1,1,1,1,1,0,1,0,0,1,1,2,66.9,4748.7,0
0278-YXOOG,1,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,4,21.1,113.9,1
3212-KXOCR,1,1,0,0,52,1,0,0,0,0,0,0,0,0,2,0,1,21,1107.2,0
4598-XLKNJ,0,0,1,0,25,1,0,2,0,1,1,0,1,1,0,1,3,98.5,2514.5,1
6380-ARCEH,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,20.2,20.2,0
3679-XASPY,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3,19.5,19.5,0
7123-WQUHX,1,1,0,0,38,1,1,2,0,0,1,1,1,0,1,0,1,95,3605.6,0
5386-THSLQ,0,0,1,0,66,0,0,1,0,1,1,0,1,0,1,0,1,45.6,3027.3,0
3192-NQECA,1,1,1,0,68,1,1,2,0,1,1,1,1,1,2,1,1,110,7611.9,1
6180-YBIQI,1,1,0,0,5,0,0,1,0,0,0,0,0,0,0,0,4,24.3,100.2,0
6728-DKUCO,0,1,1,1,72,1,1,2,1,1,0,0,1,1,1,1,3,104.2,7303.1,0
9750-BOOHV,0,1,0,0,32,0,0,1,1,0,0,0,0,0,1,0,4,30.2,927.7,0
8597-CWYHH,1,1,0,0,43,1,1,2,0,0,0,0,1,1,1,0,4,94.4,3921.3,0
2848-YXSMW,1,1,1,1,72,1,0,0,0,0,0,0,0,0,2,0,2,19.4,1363.3,0
0486-HECZI,1,1,1,0,55,1,1,2,1,1,0,0,1,0,0,1,3,96.8,5238.9,1
4549-ZDQYY,0,1,0,0,52,1,0,1,1,0,1,1,0,0,1,0,2,58,3042.3,0
5712-AHQNN,0,1,0,0,43,1,0,2,0,1,1,0,1,0,0,1,3,91.7,3954.1,0
4846-WHAFZ,0,0,1,0,37,1,1,2,0,0,0,0,0,0,0,1,3,76.5,2868.2,1
5256-SKJGO,0,1,1,1,64,0,0,1,0,1,0,1,1,1,2,1,3,54.6,3423.5,0
3071-VBYPO,1,1,1,1,3,1,0,2,1,1,0,0,1,0,0,0,3,89.9,248.4,0
9560-BBZXK,0,1,0,0,36,0,0,1,1,0,0,0,0,0,2,0,1,31.1,1126.4,0
5299-RULOA,0,1,1,1,10,1,1,2,1,0,0,0,1,1,0,1,3,100.3,1064.7,1
8402-OOOHJ,0,1,0,0,41,1,0,0,0,0,0,0,0,0,2,0,4,20.7,835.2,0
9445-ZUEQE,1,1,1,1,27,1,1,2,0,1,0,1,0,0,0,1,2,85.2,2151.6,0
1091-SOZGA,0,1,1,1,56,1,1,2,0,0,1,0,1,1,1,1,2,99.8,5515.5,0
2928-HLDBA,0,1,0,0,6,1,0,0,0,0,0,0,0,0,0,0,4,20.7,112.8,0
0404-SWRVG,1,1,0,0,3,1,1,2,0,0,0,0,0,0,0,1,3,74.4,229.6,1
6497-TILVL,0,1,1,1,7,1,0,1,1,0,0,0,0,0,0,0,4,50.7,350.4,0
7219-TLZHO,0,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,4,20.9,62.9,0
4622-YNKIJ,1,1,0,0,33,1,0,2,1,0,0,1,1,0,2,1,3,89,3027.7,0
4412-YLTKF,0,0,0,0,27,1,1,2,0,0,1,0,0,0,0,1,3,78.1,2135.5,1
6734-PSBAW,1,1,1,0,72,1,1,0,0,0,0,0,0,0,2,1,1,23.6,1724,0
3930-ZGWVE,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,19.8,19.8,0
2639-UGMAZ,1,0,0,0,71,0,0,1,1,1,0,0,1,1,1,1,3,56.5,3985.4,0
2876-GZYZC,0,1,0,0,13,1,1,2,0,0,0,0,0,1,0,1,3,86,1215.7,0
6207-WIOLX,0,1,1,1,25,0,0,1,1,1,1,0,1,1,0,1,2,58.6,1502.7,1
8587-XYZSF,1,1,0,0,67,1,0,1,0,0,0,1,0,0,2,0,1,50.6,3260.1,0
3091-FYHKI,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,3,35.5,35.5,1
2372-HWUHI,1,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,3,44.4,81.3,1
7799-LGRDP,0,1,0,0,43,1,1,0,0,0,0,0,0,0,2,1,2,25.7,1188.2,0
7850-VWJUU,0,1,0,0,23,1,0,2,1,0,0,0,0,0,0,1,1,75,1778.5,0
3774-VBNXY,0,1,1,1,64,1,0,0,0,0,0,0,0,0,2,0,4,20.2,1277.8,0
6217-KDYWC,1,1,0,1,57,1,0,0,0,0,0,0,0,0,2,1,4,19.6,1170.6,0
0390-DCFDQ,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,1,4,70.5,70.5,1
3146-MSEGF,0,0,1,1,72,1,1,1,1,1,1,1,1,1,2,1,2,88.1,6425.7,0
4080-OGPJL,0,1,0,0,8,1,1,1,1,0,0,1,0,1,0,0,3,71.2,563.7,1
1095-WGNGG,0,1,1,0,61,1,1,2,0,1,0,0,1,1,2,1,1,101.1,5971.3,0
2636-SJDOU,1,1,0,0,64,1,1,2,1,1,0,0,0,0,1,1,2,84.3,5289.1,0
1131-QQZEB,1,0,1,0,71,1,1,0,0,0,0,0,0,0,2,0,1,24,1756.2,0
5716-EZXZN,0,1,1,1,65,1,1,2,1,1,0,1,1,0,2,1,2,99.1,6416.7,0
6837-BJYDQ,1,1,0,0,3,1,0,0,0,0,0,0,0,0,1,0,4,19.6,61.4,0
2135-RXIHG,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,3,45.7,45.7,1
6440-DKQGE,1,1,0,1,30,1,0,1,0,1,1,0,1,0,1,0,2,64.5,1930,0
3466-BYAVD,1,1,1,1,15,1,0,1,0,1,1,1,0,1,0,1,4,69.5,1071.4,0
3780-YVMFA,0,1,1,1,8,1,0,1,0,0,0,1,1,1,0,1,3,68.6,564.4,0
3874-EQOEP,1,1,0,0,7,1,1,2,0,0,0,0,1,1,0,0,4,95,655.5,1
1679-JRFBR,0,1,1,1,70,1,1,2,1,1,1,0,1,1,1,1,2,108.2,7930.6,0
9073-ZZIAY,1,1,1,1,62,1,0,1,1,1,1,1,1,1,2,0,3,86.1,5215.3,0
3077-RSNTJ,0,1,1,1,6,1,0,0,0,0,0,0,0,0,0,0,4,19.7,113.5,0
6551-GNYDG,0,1,1,1,14,1,0,2,0,0,0,0,0,1,0,1,1,80.9,1152.8,0
9167-APMXZ,0,1,0,0,22,1,1,2,0,0,0,0,1,0,0,1,1,84.2,1822,0
2749-CTKAJ,1,1,1,1,22,1,0,0,0,0,0,0,0,0,1,0,4,20.2,419.9,0
6371-NZYEG,1,1,1,1,16,1,0,1,1,0,1,0,1,0,2,0,4,64.3,1024,0
7554-NEWDD,1,1,0,0,10,1,1,0,0,0,0,0,0,0,2,0,1,25.7,251.6,0
8992-VONJD,0,1,0,1,13,1,0,1,1,1,0,0,0,0,0,1,3,56,764.6,0
0867-MKZVY,0,1,1,0,20,1,1,2,1,0,0,0,0,0,0,0,3,82.4,1592.4,1
4482-EWFMI,0,1,0,0,2,1,0,2,0,0,0,0,0,0,0,1,3,69.7,135.2,0
4648-YPBTM,1,1,0,0,53,1,1,1,0,1,1,1,0,1,2,1,1,73.9,3958.3,0
2907-ILJBN,0,1,1,1,11,1,0,0,0,0,0,0,0,0,1,0,4,20.6,233.9,0
6345-FZOQH,1,1,1,0,69,1,0,0,0,0,0,0,0,0,2,0,4,19.9,1363.5,0
3376-BMGFE,0,1,0,0,4,1,0,2,0,0,0,0,0,0,0,1,1,70.9,273,1
5997-OPVFA,1,1,1,0,72,1,1,1,1,1,1,1,1,1,2,1,1,89.1,6254.5,0
3445-HXXGF,1,0,1,0,58,0,0,1,0,1,1,0,0,1,0,1,3,45.3,2651.2,1
1159-WFSGR,0,1,1,1,16,1,0,0,0,0,0,0,0,0,0,0,3,20.4,321.4,0
7654-YWJUF,1,1,1,0,43,1,0,2,1,0,1,1,0,0,1,1,1,84.3,3539.3,0
1875-QIVME,0,1,1,0,2,1,1,2,0,0,1,1,1,1,0,1,3,104.4,242.8,1
6727-IOTLZ,1,1,1,0,14,1,0,1,0,1,1,1,1,1,2,0,4,82,1181.8,0
0691-JVSYA,0,1,1,0,53,1,0,2,0,0,1,0,1,1,1,1,1,94.9,5000.2,1
5918-VUKWP,0,1,0,0,32,1,0,0,0,0,0,0,0,0,1,0,1,20.6,654.6,0
1744-JHKYS,0,1,1,0,34,1,1,0,0,0,0,0,0,0,0,0,3,24.7,780.2,0
2656-FMOKZ,0,0,0,0,15,1,1,2,0,0,0,0,0,0,0,1,4,74.5,1145.7,1
2070-FNEXE,0,0,0,0,7,1,0,2,1,0,0,0,0,0,0,0,1,76.5,503.6,1
5947-SGKCL,0,1,1,1,15,1,1,2,0,1,1,0,1,1,0,1,1,105.4,1559.3,0
3712-PKXZA,1,1,1,0,61,1,0,0,0,0,0,0,0,0,1,1,2,20.6,1252,0
6317-YPKDH,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,30,30,1
6582-OIVSP,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,4,45.3,45.3,0
9367-WXLCH,1,1,0,0,8,1,1,2,0,0,0,0,0,1,0,0,1,84.5,662.7,1
5524-KHNJP,1,1,1,1,33,1,0,1,1,0,1,0,1,1,1,0,2,74.8,2453.3,0
1918-ZBFQJ,0,1,0,0,13,1,0,2,0,1,1,0,0,0,0,1,3,79.3,1111.7,1
1024-GUALD,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,3,24.8,24.8,1
4827-USJHP,1,1,0,0,20,1,0,1,0,1,0,0,0,0,0,1,4,51.8,1023.9,0
8167-GJLRN,1,1,0,0,3,0,0,1,0,0,0,1,0,0,0,0,3,30.4,82.2,0
0956-SYCWG,0,1,0,0,13,1,0,0,0,0,0,0,0,0,1,0,3,19.7,244.8,0
8017-UVSZU,0,1,1,0,40,1,1,1,0,1,0,0,0,0,0,0,2,56.6,2379.1,0
7100-FQPRV,1,1,1,1,43,1,1,1,1,0,0,1,0,1,1,1,2,71.9,3173.4,0
2472-OVKUP,1,1,1,0,6,1,0,2,0,1,1,0,0,1,0,1,3,91,531,1
2984-RGEYA,0,1,1,1,69,1,0,0,0,0,0,0,0,0,2,0,1,19.8,1375.4,0
9680-NIAUV,0,1,1,1,72,1,1,2,1,1,1,0,1,1,2,0,2,109.7,8129.3,0
2146-EGVDT,1,1,1,1,59,1,0,0,0,0,0,0,0,0,2,0,2,19.3,1192.7,0
2604-IJPDU,0,1,1,0,20,1,0,2,1,1,0,1,1,0,0,1,3,96.6,1901.7,0
9178-JHUVJ,1,1,1,1,24,1,1,0,0,0,0,0,0,0,2,1,1,24.1,587.4,0
6168-YBYNP,1,1,0,0,59,1,1,2,0,1,1,1,1,1,0,1,3,111.4,6519.8,0
7255-SSFBC,1,1,1,1,72,1,1,2,0,1,1,1,1,1,2,1,1,112.3,8041.7,0
3645-DEYGF,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,4,20.8,20.8,0
9323-HGFWY,0,1,1,0,27,1,0,2,1,0,0,1,1,1,1,1,2,101.9,2681.2,0
8544-GOQSH,0,1,0,0,14,1,0,2,0,1,0,1,0,0,0,1,2,80.1,1112.3,0
3363-DTIVD,1,1,1,1,71,1,1,2,1,0,1,0,1,1,2,0,3,105.6,7405.5,0
7018-WBJNK,1,1,0,1,13,1,0,2,0,0,0,0,1,0,0,1,2,78.3,1034,0
9142-KZXOP,1,1,0,0,44,1,0,2,0,0,0,0,0,0,0,0,2,68.9,2959,0
7674-YTAFD,0,1,0,0,33,1,0,2,0,1,0,1,0,0,1,1,1,80,2684.9,0
6348-SNFUS,1,1,1,1,72,0,0,1,1,1,1,1,0,1,2,1,2,55.5,4179.2,0
1285-OKIPP,1,1,0,0,1,1,0,2,0,0,0,0,0,1,0,0,3,79.9,79.9,1
7825-ECJRF,0,1,0,0,19,1,0,2,1,0,1,1,1,1,0,1,3,106.6,1934.5,1
1347-KTTTA,1,1,1,0,64,1,0,2,0,1,1,1,1,1,1,1,2,102.5,6654.1,0
7841-TZDMQ,1,1,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,46,84.5,1
4195-NZGTA,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,25.3,25.3,0
7157-SMCFK,1,1,0,1,61,1,0,0,0,0,0,0,0,0,2,0,4,19.8,1124.2,0
4709-LKHYG,0,1,1,1,29,1,0,0,0,0,0,0,0,0,1,0,3,20,540.1,0
2504-DSHIH,1,0,1,0,23,1,1,2,0,0,0,0,0,1,0,0,3,86.8,1975.9,0
0699-NDKJM,0,1,1,0,57,0,0,1,1,1,1,0,1,1,0,1,1,58.8,3437.5,0
9286-BHDQG,1,1,1,1,72,0,0,1,1,1,1,1,0,0,2,0,2,45.3,3139.8,0
0230-WEQUW,1,1,1,0,66,0,0,1,1,1,1,1,1,0,2,1,1,56.6,3789.2,0
2040-LDIWQ,1,1,1,1,65,1,1,1,0,1,1,1,1,1,2,1,1,84.2,5324.5,0
6496-JDSSB,0,1,0,0,8,1,0,2,0,0,0,0,1,0,0,1,1,80,624.6,0
9408-SSNVZ,0,1,0,0,4,1,0,2,0,0,0,0,0,0,0,1,3,70.2,268.4,1
4443-EMBNA,0,1,1,0,71,1,1,0,0,0,0,0,0,0,2,0,1,24.8,1836.9,0
6469-MRVET,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,3,20.2,20.2,0
0742-MOABM,1,1,1,0,4,1,0,1,0,0,0,1,0,0,0,0,4,50.1,179.4,1
5961-VUSRV,0,1,0,0,12,1,0,0,0,0,0,0,0,0,1,1,1,19.4,219.4,0
6778-JFCMK,1,1,0,0,24,0,0,1,1,0,0,0,1,1,1,1,4,50.6,1288.8,0
6341-JVQGF,0,1,1,1,31,1,0,1,1,0,1,1,1,1,1,1,4,81.2,2545.8,0
2232-DMLXU,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,4,55.2,55.2,1
4811-JBUVU,1,1,0,0,30,1,1,2,0,0,0,1,0,1,0,1,2,89.9,2723.2,0
0945-TSONX,0,1,1,1,47,1,1,1,1,1,0,1,1,1,2,1,2,85.3,4107.3,0
2651-ZCBXV,1,1,0,0,54,1,1,2,1,1,0,1,1,1,2,1,2,108,5760.7,0
3316-UWXUY,1,1,0,0,50,1,0,2,1,1,0,1,0,1,0,1,2,93.5,4747.5,0
8937-RDTHP,1,1,0,0,1,1,0,2,1,0,0,0,0,1,0,1,4,84.6,84.6,1
7083-MIOPC,0,1,0,0,72,1,0,0,0,0,0,0,0,0,2,0,2,20.3,1566.9,0
1984-GPTEH,0,1,0,0,29,1,1,0,0,0,0,0,0,0,0,0,3,25.2,702,0
1251-KRREG,1,1,0,0,2,1,1,1,0,1,0,0,0,0,0,1,4,54.4,114.1,1
0621-JFHOL,0,1,0,0,10,0,0,1,0,0,0,1,0,0,2,1,4,29.6,299.1,0
9903-LYSAB,1,1,1,0,18,1,1,2,0,0,0,0,0,0,0,1,3,73.2,1306,0
0094-OIFMO,0,0,0,0,11,1,0,2,0,1,0,0,1,1,0,1,3,95,1120.3,1
9227-UAQFT,1,1,0,0,16,1,0,0,0,0,0,0,0,0,2,0,4,19.8,284.4,0
7301-ABVAD,0,1,0,0,72,1,1,1,0,1,1,1,1,1,2,0,1,86.6,6350.5,0
6614-FHDBO,1,1,0,0,72,1,1,2,0,1,1,1,1,1,2,0,1,109.2,7878.3,0
7576-ASEJU,0,1,1,1,41,1,0,1,1,0,0,1,1,1,1,1,2,74.7,3187.7,0
9058-HRZSV,0,0,1,0,65,1,0,2,1,1,1,0,0,1,0,0,3,94.4,6126.2,0
4522-AKYLR,0,0,0,0,13,1,0,1,0,1,1,0,0,0,0,1,3,54.8,731.3,0
0221-WMXNQ,1,0,0,0,4,1,0,2,1,0,0,0,0,0,0,0,3,75.4,273.4,0
0303-UNCIP,1,1,0,0,41,1,1,1,0,0,1,0,0,1,1,0,4,65,2531.8,0
9947-OTFQU,1,0,0,0,15,1,0,2,0,1,0,0,0,0,0,1,3,74.4,1074.3,1
0322-YINQP,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,4,48.6,48.6,1
0959-WHOKV,1,1,0,0,42,1,1,2,1,1,1,0,0,1,1,1,3,99,4298.5,0
4075-JFPGR,0,1,1,0,51,1,0,2,1,1,1,0,1,0,1,1,3,93.5,4619.6,0
4629-NRXKX,0,1,1,1,2,1,0,2,0,0,0,0,0,0,0,0,3,70.4,147.2,1
9514-JDSKI,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,3,40.2,40.2,1
3282-ZISZV,1,1,0,1,32,1,1,1,0,1,1,1,1,1,1,0,2,83.7,2633.3,0
3675-YDUPJ,1,1,0,0,10,1,0,0,0,0,0,0,0,0,0,1,4,19.9,193.1,0
4111-BNXIF,0,1,1,1,67,0,0,1,0,1,1,1,1,1,2,1,3,59.6,4103.9,0
7017-VFHAY,0,1,1,1,61,1,1,2,1,1,1,1,1,1,2,0,2,115.1,7008.2,0
